1000,Sequence Control
F50563,Additional info
135185,SMC FFS: internal error
135186,SMC FFS: Encoder not ready
135189,SMC: Safe Brake Test - Violation of the position tolerance
135190,SMC FFS: Encoder error SinCos processing
F50564,Additional info
135191,"SMC: Safe Brake Test - Test interval elapsed, test required"
135192,SMC: Current sum exeeded tolerance range
F50565,Current sum [uA]
135193,SMC: Current sensor range exceeded phase U
F50566,Actual current [uA]
135194,SMC: Current sensor range exceeded phase V
F50567,Actual current [uA]
135195,SMC: Current sensor range exceeded phase W
F50568,Actual current [uA]
135196,SMC: Compensation data incomplete
F50569,Detail information
135197,"SMC FFS: SS2, SOS Violation of standstill position tolerance"
135198,SMC FFS: Encoder error was detected
135199,SMC FFS: SDI - Violations of the safe direction
135200,SMC FFS: SDI - Violation of the positive direction
135201,SMC FFS: SDI - Violation of the negative direction
135202,SMC FFS: SLI - Violation of standstill speed limit
135203,SMC FFS: SLI - Violation of position window (increments)
135204,SMC FFS: Violation of the actual speed limit
135205,SMC FFS: Violation of the deceleration ramp
135206,SMC FFS: SMS - Violation of the speed limit
135207,SMC FFS: SOS - Violation of the speed limit
135208,SMC FFS: SS2 - Violation of the speed limit
135209,SMC FFS: SLS1 - Violation of the speed limit
135210,SMC FFS: SLS2 - Violation of the speed limit
135211,SMC FFS: SLS3 - Violation of the speed limit
135212,SMC FFS: SLS4 - Violation of the speed limit
135213,SMC FFS: Alive test of set position was not executed
135214,SMC FFS: Warning on output was not acknowledged
135215,SMC FFS: Alive test - Monitoring timeout
135216,SMC FFS: SMP - Homing timeout exceeded
135217,SMC FFS: SMP - Violation of the deceleration ramp
135218,SMC FFS: SLP - Violation of the deceleration ramp
135219,SMC FFS: SMP - Violation of lower SMP limit
135220,SMC FFS: SMP - Violation of upper SMP limit
135221,SMC FFS: SLP - Violation of lower SLP limit
135222,SMC FFS: SLP - Violation of upper SLP limit
135223,SMC FFS: SMP - Movement in neg. direction outside SMP limit
135224,SMC FFS: SMP - Movement in pos. direction outside SMP limit
135225,"SMC FFS: SLP requested, axis is not homed yet"
135226,"SMC FFS: SMP, SLP - Internal error"
135227,"SMC FFS: SMP, SLP - INT32 overflow of S_SafePosition"
135228,SMC FFS: Homing - Timeout elapsed
135229,SMC FFS: Homing - Standstill Speed tolerance violated
135230,SMC FFS: Homing reference pulse - Max. trigger speed exceeded
135231,SMC FFS: Homing - Movement invalid
135232,SMC FFS: Homing offset - Position outside INT32 range
135233,SMC FFS: Homing offset - Violation of safe encoder range
135234,SMC: Encoder mismatch - Length of encoder configuration data changed
135235,SMC: Encoder mismatch - Serial number of encoder changed
135236,SMC: Encoder mismatch - Version changed or no encoder data stored
135237,SMC: Encoder mismatch - EnDat master data or encoder data changed
F50570,Additional info
135238,SMC: Encoder - EnDat Master state error register is set
F50571,Status register
135239,SMC FFS: Homing failed
F50572,Additional info
135240,SMC FFS: Violation of safety function
F50573,Additional info
135241,SMC FFS: Function block switched back into IDLE state
F50574,Additional info
135243,SMC FFS: Safe output - Teststate has changed
F50575,Output state
135244,SMC: Encoder - Received position not valid
F50576,Additional info
135245,SMC: Encoder mismatch detected
F50577,Additional info
135246,SMC: Encoder - Initialization error
F50578,Additional info
135247,SMC: Debug information
F50579,Additional info
135248,"SMC: Internal warning, Lockbit set"
F50580,Lockbits
135249,SMC: Encoder - SafeSpeed exceeded INT16 range
135250,SMC: Encoder - EnDat Master encoder error register is set
F50581,Fehler register
135251,SMC: Velocity error limit exceeded
F50582,Speed error [U/s*2^16]
135252,SMC: Position lag error limit exceeded
F50583,Lag error [units]
135253,SMC: Encoder - Rounding error due to parametrization
F50584,Additional info
135254,SMC: Encoder - Length of physical reference system too large
F50585,Additional info
135255,SMC FS: Encoder - Acceleration limit exceeded
135487,SMC: Functional phasing state is reset
F50586,Additional info
135488,SMC: Request SS1 - Position/speed evaluation is not ready
135489,SMC: Request SLS1 - Position/speed evaluation is not ready
135490,SMC: Request SLS2 - Position/speed evaluation is not ready
135491,SMC: Request SLS3 - Position/speed evaluation is not ready
135492,SMC: Request SLS4 - Position/speed evaluation is not ready
135493,SMC: Functional encoder changed to error state
F50587,Additional info
135494,"SMC: Controller switch on detected, but state of functional encoder invalid."
F50588,Additional info
135495,SMC: SSO configuration error. The encode mode is invalid.
F50589,Additional info
135496,SMC: Current measurement invalid
F50590,Additional info
135497,SMC: BM - Delay time expired
F50591,Additional info
135499,SMC FFS: Current measurement error was detected
135500,SMC: SSO - Safe speed observer speed error
F50592,Additional info
135501,SMC: SSO - Safe speed observer speed error
F50593,Additional info
135502,"SMC: UTILS - Testinterface, dummy logbook entry"
135503,SMC FFS: Internal error in ADC conversion
F50594,Additional info
135504,"SMC FFS: RSP - Homing, INT32 overflow of S_SafePosition"
F50595,Additional info
135505,SMC FFS: SLT - Violation of torque limit
135506,"SMC FFS: RSP - Homing, Positional change during power off too big"
F50596,Additional info
135507,"SMC FFS: RSP - Homing, Config changed"
F50597,Additional info
135508,"SMC FFS: Internal error, FPGA communication"
F50598,Additional info
135509,"SMC FFS: RSP - Homing, CRC error while receiving the remanent safe position"
F50599,Additional info
135510,"SMC FFS: RSP - Homing, Homing already done without RSP"
F50600,Additional info
135511,SMC: RSP - State RSP Valid changed during safe operation
136001,Parameter limited to valid range
136002,Total time for the position loop controller limited to prediction time
136003,Braking distance exceeds positive SW limit - Deceleration parameter increased
136004,Braking distance exceeds negative SW limit - Deceleration parameter increased
136005,Warning triggered by command
F50601,Command parameter
137101,Calculated compensation distance on slave axis limited to maximum
F50602,State index
137102,Calculated compensation distance on slave axis limited to minimum
F50603,State index
137108,Calculated compensation distance of master axis limited to minimum
F50604,State index
137111,Cam data: Difference between polynomial value y(xn) and slave period
F50605,Difference
137112,Polynomial within cam data exceeds limit value
F50606,Detail
137113,Compensation gear: Limit values exceeded
F50607,State index
138001,Torque limiter: Limit value higher than maximum value
F50608,Maximum value
138003,Motor holding brake: Test torque was limited
138004,Motor holding brake: Test torque less than load torque
138006,Current controller: Permissible current offset values exceeded
138008,Bleeder: No current flow
138009,Inverter: Output: Current flow test aborted
F50609,Phase
139000,Encoder: Warning active
F50610,Encoder
139001,Encoder: Position correction active
F50611,Encoder
139002,Resolver: Speed limit for 14 bit resolution exceeded
F50612,Encoder
139003,EnDat encoder: Alarm bit is set
F50613,Encoder
139004,EnDat encoder: Alarm bit - Lighting failure
F50614,Encoder
139005,EnDat encoder: Alarm bit - Signal amplitude too small
F50615,Encoder
139006,EnDat encoder: Alarm bit - Position value contains an error
F50616,Encoder
139007,EnDat encoder: Alarm bit - Overvoltage
F50617,Encoder
139008,EnDat encoder: Alarm bit - Undervoltage
F50618,Encoder
139009,EnDat encoder: Alarm bit - Overcurrent
F50619,Encoder
139010,EnDat encoder: Alarm bit - Battery change required
F50620,Encoder
139011,EnDat encoder: Warning bit - Frequency too high
F50621,Encoder
139012,EnDat encoder: Warning bit - Temperature too high
F50622,Encoder
139013,EnDat encoder: Warning bit - Lighting reserve reached
F50623,Encoder
139014,EnDat encoder: Warning bit - Battery charge too low
F50624,Encoder
139015,EnDat encoder: Warning bit - Reference point not reached
F50625,Encoder
139016,Incremental encoder emulation: Frequency too high
F50626,Encoder
139017,Encoder: CRC error while reading position
F50627,Encoder
139018,"Reference pulse monitoring: Faulty position, resolution, or reference pulse"
F50628,Encoder
139019,Serial encoder interface: Stop bit error
F50629,Encoder
139020,Serial encoder interface: Receive data overrun
F50630,Encoder
139021,Serial encoder interface: Send data error
F50631,Encoder
139022,EnDat encoder: Warning bit is set
F50632,Encoder
139023,EnDat encoder: CRC error while reading EnDat2.2 additional information
F50633,Encoder
139024,EnDat encoder: Operating status error sources: M ALL Power down
F50634,Encoder
139025,EnDat encoder: Operating status error sources: M Overflow / Underflow
F50635,Encoder
139026,EnDat encoder: Type 3 error while reading EnDat2.2 additional information
F50636,Encoder
139027,Encoder Emulation: power supply fail
F50637,Encoder
139028,Encoder: Multiturn failure
F50638,Encoder
139029,Encoder: Battery charge too low
F50639,Encoder
139030,Encoder: Warning bit is set
F50640,Encoder
139032,EnDat encoder: Operating status error sources: Lighting
F50641,Encoder
139033,EnDat encoder: Operating status error sources: Signal amplitude
F50642,Encoder
139034,EnDat encoder: Operating status error sources: S Pos 1
F50643,Encoder
139035,EnDat encoder: Operating status error sources: Overvoltage
F50644,Encoder
139036,EnDat encoder: Operating status error sources: Undervoltage
F50645,Encoder
139037,EnDat encoder: Operating status error sources: over current
F50646,Encoder
139038,EnDat encoder: Operating status error sources: Temperature exceeded
F50647,Encoder
139039,EnDat encoder: Operating status error sources: S Pos
